Order ID,Order Date,Year,Month,Region,Segment,Category,Sub-Category,Ship Mode,Sales,Quantity,Discount,Profit,Profit Margin,Profitability
CA-2016-152156,2016-11-08,2016,11,South,Consumer,Furniture,Bookcases,Second Class,261.96,2,0.0,41.9136,0.16000000000000003,Profit
CA-2016-152156,2016-11-08,2016,11,South,Consumer,Furniture,Chairs,Second Class,731.94,3,0.0,219.582,0.3,Profit
CA-2016-138688,2016-06-12,2016,6,West,Corporate,Office Supplies,Labels,Second Class,14.62,2,0.0,6.8714,0.47000000000000003,Profit
US-2015-108966,2015-10-11,2015,10,South,Consumer,Furniture,Tables,Standard Class,957.5775,5,0.45,-383.031,-0.4,Loss
US-2015-108966,2015-10-11,2015,10,South,Consumer,Office Supplies,Storage,Standard Class,22.368,2,0.2,2.5164,0.1125,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Furniture,Furnishings,Standard Class,48.86,7,0.0,14.1694,0.29,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Office Supplies,Art,Standard Class,7.28,4,0.0,1.9656,0.27,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Technology,Phones,Standard Class,907.152,6,0.2,90.7152,0.09999999999999999,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Office Supplies,Binders,Standard Class,18.504,3,0.2,5.7825,0.31249999999999994,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Office Supplies,Appliances,Standard Class,114.9,5,0.0,34.47,0.3,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Furniture,Tables,Standard Class,1706.184,9,0.2,85.3092,0.05,Profit
CA-2014-115812,2014-06-09,2014,6,West,Consumer,Technology,Phones,Standard Class,911.424,4,0.2,68.3568,0.07500000000000001,Profit
CA-2017-114412,2017-04-15,2017,4,South,Consumer,Office Supplies,Paper,Standard Class,15.552,3,0.2,5.4432,0.35000000000000003,Profit
CA-2016-161389,2016-12-05,2016,12,West,Consumer,Office Supplies,Binders,Standard Class,407.976,3,0.2,132.5922,0.32499999999999996,Profit
US-2015-118983,2015-11-22,2015,11,Central,Home Office,Office Supplies,Appliances,Standard Class,68.81,5,0.8,-123.858,-1.8,Loss
US-2015-118983,2015-11-22,2015,11,Central,Home Office,Office Supplies,Binders,Standard Class,2.544,3,0.8,-3.816,-1.5,Loss
CA-2014-105893,2014-11-11,2014,11,Central,Consumer,Office Supplies,Storage,Standard Class,665.88,6,0.0,13.3176,0.02,Profit
CA-2014-167164,2014-05-13,2014,5,West,Consumer,Office Supplies,Storage,Second Class,55.5,2,0.0,9.99,0.18,Profit
CA-2014-143336,2014-08-27,2014,8,West,Consumer,Office Supplies,Art,Second Class,8.56,2,0.0,2.4824,0.29,Profit
CA-2014-143336,2014-08-27,2014,8,West,Consumer,Technology,Phones,Second Class,213.48,3,0.2,16.011,0.075,Profit
CA-2014-143336,2014-08-27,2014,8,West,Consumer,Office Supplies,Binders,Second Class,22.72,4,0.2,7.384,0.325,Profit
CA-2016-137330,2016-12-09,2016,12,Central,Corporate,Office Supplies,Art,Standard Class,19.46,7,0.0,5.0596,0.25999999999999995,Profit
CA-2016-137330,2016-12-09,2016,12,Central,Corporate,Office Supplies,Appliances,Standard Class,60.34,7,0.0,15.6884,0.25999999999999995,Profit
US-2017-156909,2017-07-16,2017,7,East,Consumer,Furniture,Chairs,Second Class,71.372,2,0.3,-1.0196,-0.014285714285714287,Loss
CA-2015-106320,2015-09-25,2015,9,West,Consumer,Furniture,Tables,Standard Class,1044.63,3,0.0,240.2649,0.22999999999999998,Profit
CA-2016-121755,2016-01-16,2016,1,West,Consumer,Office Supplies,Binders,Second Class,11.648,2,0.2,4.2224,0.36250000000000004,Profit
CA-2016-121755,2016-01-16,2016,1,West,Consumer,Technology,Accessories,Second Class,90.57,3,0.0,11.7741,0.13,Profit
US-2015-150630,2015-09-17,2015,9,East,Consumer,Furniture,Bookcases,Standard Class,3083.43,7,0.5,-1665.0522,-0.54,Loss
US-2015-150630,2015-09-17,2015,9,East,Consumer,Office Supplies,Binders,Standard Class,9.618,2,0.7,-7.0532,-0.7333333333333334,Loss
US-2015-150630,2015-09-17,2015,9,East,Consumer,Furniture,Furnishings,Standard Class,124.2,3,0.2,15.525,0.125,Profit
US-2015-150630,2015-09-17,2015,9,East,Consumer,Office Supplies,Envelopes,Standard Class,3.264,2,0.2,1.1016,0.3375,Profit
US-2015-150630,2015-09-17,2015,9,East,Consumer,Office Supplies,Art,Standard Class,86.304,6,0.2,9.7092,0.11249999999999999,Profit
US-2015-150630,2015-09-17,2015,9,East,Consumer,Office Supplies,Binders,Standard Class,6.858,6,0.7,-5.715,-0.8333333333333334,Loss
US-2015-150630,2015-09-17,2015,9,East,Consumer,Office Supplies,Art,Standard Class,15.76,2,0.2,3.546,0.22499999999999998,Profit
CA-2017-107727,2017-10-19,2017,10,Central,Home Office,Office Supplies,Paper,Second Class,29.472,3,0.2,9.9468,0.33749999999999997,Profit
CA-2016-117590,2016-12-08,2016,12,Central,Corporate,Technology,Phones,First Class,1097.544,7,0.2,123.4737,0.11249999999999999,Profit
CA-2016-117590,2016-12-08,2016,12,Central,Corporate,Furniture,Furnishings,First Class,190.92,5,0.6,-147.963,-0.775,Loss
CA-2015-117415,2015-12-27,2015,12,Central,Home Office,Office Supplies,Envelopes,Standard Class,113.328,9,0.2,35.415,0.3125,Profit
CA-2015-117415,2015-12-27,2015,12,Central,Home Office,Furniture,Bookcases,Standard Class,532.3992,3,0.32,-46.9764,-0.08823529411764706,Loss
CA-2015-117415,2015-12-27,2015,12,Central,Home Office,Furniture,Chairs,Standard Class,212.058,3,0.3,-15.147,-0.07142857142857144,Loss
CA-2015-117415,2015-12-27,2015,12,Central,Home Office,Technology,Phones,Standard Class,371.168,4,0.2,41.7564,0.1125,Profit
CA-2017-120999,2017-09-10,2017,9,Central,Corporate,Technology,Phones,Standard Class,147.168,4,0.2,16.5564,0.11249999999999999,Profit
CA-2016-101343,2016-07-17,2016,7,West,Corporate,Office Supplies,Storage,Standard Class,77.88,2,0.0,3.894,0.05,Profit
CA-2017-139619,2017-09-19,2017,9,South,Corporate,Office Supplies,Storage,Standard Class,95.616,2,0.2,9.5616,0.1,Profit
